region,variety,method,score
san bartolo tutotepec,Pacamara,Washed / Wet,83.17
huila,Caturra,Washed / Wet,83.17
san isidro,Typica,Washed / Wet,83.17
huila,Caturra,Washed / Wet,83.17
la concordia,Typica,Washed / Wet,83.17
south of minas,Mundo Novo,Natural / Dry,83.17
mogiana,Mundo Novo,Natural / Dry,83.17
oriente,Bourbon,Washed / Wet,83.17
south of minas,Mundo Novo,Semi-washed / Semi-pulped,83.17
cundinamarca,Caturra,Washed / Wet,83.08
huila,Caturra,Washed / Wet,83.08
south of minas,Yellow Bourbon,Pulped natural / honey,83.08
south of minas,Yellow Bourbon,Natural / Dry,83.08
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Typica,Natural / Dry,83.08
chapadÃ£o de ferro (cerrado mineiro),Mundo Novo,Natural / Dry,83.08
south of minas,Bourbon,Washed / Wet,83.08
central valley,Catuai,Washed / Wet,83.08
kona,Hawaiian Kona,Natural / Dry,83.08
chiayi alishan å˜‰ç¾©ç¸£é˜¿é‡Œå±±é„‰,Typica,Other,83.08
kona,Hawaiian Kona,Natural / Dry,83.08
santa catarina juquila,Other,Washed / Wet,83.08
kona,Hawaiian Kona,Natural / Dry,83.08
kona,Hawaiian Kona,Washed / Wet,83.08
south of minas,Bourbon,Natural / Dry,83
south of minas,Bourbon,Natural / Dry,83
south of minas,Bourbon,Natural / Dry,83
"kasese, mt. rwenzori",Bourbon,Washed / Wet,83
"kasese, mt. rwenzori",Bourbon,Natural / Dry,83
vietnam cau dat,Caturra,Other,83
nuevo oriente,Catuai,Washed / Wet,83
"el tumbador, san marcos",Catuai,Washed / Wet,83
antigua,Bourbon,Washed / Wet,83
high mogiana,Catuai,Natural / Dry,83
å˜‰ç¾©é˜¿é‡Œå±±,Typica,Washed / Wet,83
kapchorwa,SL14,Washed / Wet,83
yauco region,Other,Washed / Wet,83
antigua,Bourbon,Washed / Wet,83
central valley,Catuai,Washed / Wet,83
sul de minas,Yellow Bourbon,Semi-washed / Semi-pulped,83
huila,Caturra,Washed / Wet,83
huila,Caturra,Washed / Wet,83
pitalito,Caturra,Natural / Dry,83
pitalito,Caturra,Natural / Dry,83
huila,Caturra,Washed / Wet,83
coatepec,Typica,Washed / Wet,83
atoyac de alvarez,Typica,Semi-washed / Semi-pulped,83
coatepec,Bourbon,Washed / Wet,83
huila,Caturra,Washed / Wet,83
huila,Caturra,Washed / Wet,83
"la reforma, san marcos",Bourbon,Washed / Wet,83
la plata,Caturra,Washed / Wet,83
south of minas,Bourbon,Natural / Dry,82.92
apaneca,Bourbon,Washed / Wet,82.92
guayata,Caturra,Washed / Wet,82.92
